=========================================================================
                    REPORTE DETALLADO: RUTAS POR PEDIDOS
=========================================================================
⏰ HORARIOS UTC+0: ID pedido, salida y llegada del plan de vuelo
✈️ DURACIÓN: Continental 12h, Intercontinental 24h (+2h escalas)
📝 TIEMPO GRACIA: 2h entre pedido y primer vuelo disponible
🌍 CONTINENTES: S=Sudamérica, E/L=Europa, O/U/V=Asia

ID PEDIDO UTC+0           | DESTINO  | CANT | TIPO RUTA  | SALIDA UTC+0       | LLEGADA UTC+0      | RUTA COMPLETA                 
✅ 02-03-33-LKPR-275-0000019 | LKPR     |  275 | DIRECTA    | D2 05:33 UTC     | D2 17:33 UTC     | EBCI → LKPR                   
✅ 04-12-49-OYSN-257-0000003 | OYSN     |  257 | DIRECTA    | D4 14:49 UTC     | D5 03:49 UTC     | UBBB → OYSN                   
✅ 20-19-24-OMDB-299-0000023 | OMDB     |  299 | DIRECTA    | D20 21:24 UTC    | D21 09:24 UTC    | UBBB → OMDB                   
✅ 25-17-34-SVMI-258-0000006 | SVMI     |  258 | DIRECTA    | D25 19:34 UTC    | D26 06:34 UTC    | SPIM → SVMI                   
✅ 00-23-08-EHAM-287-0000011 | EHAM     |  287 | DIRECTA    | D1 01:08 UTC     | D1 13:08 UTC     | EBCI → EHAM                   
✅ 09-05-45-SGAS-329-0000004 | SGAS     |  329 | DIRECTA    | D9 07:45 UTC     | D9 18:45 UTC     | SPIM → SGAS                   
✅ 21-18-12-OYSN-219-0000001 | OYSN     |  219 | DIRECTA    | D21 20:12 UTC    | D22 09:12 UTC    | UBBB → OYSN                   
✅ 18-19-25-SKBO-238-0000018 | SKBO     |  238 | DIRECTA    | D18 21:25 UTC    | D19 09:25 UTC    | SPIM → SKBO                   
✅ 20-23-35-LBSF-346-0000013 | LBSF     |  346 | DIVIDIDO   | D21 01:35 UTC    | D21 21:35 UTC    | DIVIDIDO → D21-03:36[340](DIR), D21-11:48[6](DIR)
✅ 00-21-33-OMDB-251-0000011 | OMDB     |  251 | DIRECTA    | D0 23:33 UTC     | D1 11:33 UTC     | UBBB → OMDB                   
✅ 21-16-08-LATI-325-0000002 | LATI     |  325 | DIRECTA    | D21 18:08 UTC    | D22 06:08 UTC    | EBCI → LATI                   
✅ 13-10-42-LATI-326-0000013 | LATI     |  326 | DIRECTA    | D13 12:42 UTC    | D14 00:42 UTC    | EBCI → LATI                   
✅ 03-22-25-LOWW-317-0000017 | LOWW     |  317 | DIRECTA    | D4 00:25 UTC     | D4 12:25 UTC     | EBCI → LOWW                   
✅ 30-20-31-EHAM-202-0000019 | EHAM     |  202 | DIRECTA    | D30 22:31 UTC    | D31 10:31 UTC    | EBCI → EHAM                   
✅ 14-00-21-LATI-272-0000009 | LATI     |  272 | DIRECTA    | D14 02:21 UTC    | D14 14:21 UTC    | EBCI → LATI                   
✅ 03-07-33-SLLP-260-0000021 | SLLP     |  260 | DIRECTA    | D3 09:33 UTC     | D3 20:33 UTC     | SPIM → SLLP                   
✅ 13-14-10-OAKB-210-0000001 | OAKB     |  210 | DIRECTA    | D13 16:10 UTC    | D14 05:10 UTC    | UBBB → OAKB                   
✅ 06-14-07-SUAA-223-0000023 | SUAA     |  223 | DIRECTA    | D6 16:07 UTC     | D7 02:07 UTC     | SPIM → SUAA                   
✅ 16-08-49-VIDP-239-0000017 | VIDP     |  239 | DIRECTA    | D16 10:49 UTC    | D16 21:49 UTC    | UBBB → VIDP                   
✅ 08-18-39-OAKB-230-0000006 | OAKB     |  230 | DIRECTA    | D8 20:39 UTC     | D9 09:39 UTC     | UBBB → OAKB                   
✅ 19-01-22-OMDB-233-0000018 | OMDB     |  233 | DIRECTA    | D19 03:22 UTC    | D19 15:22 UTC    | UBBB → OMDB                   
✅ 29-17-51-SABE-271-0000007 | SABE     |  271 | DIRECTA    | D29 19:51 UTC    | D30 05:51 UTC    | SPIM → SABE                   
✅ 13-23-17-LOWW-292-0000024 | LOWW     |  292 | DIRECTA    | D14 01:17 UTC    | D14 13:17 UTC    | EBCI → LOWW                   
✅ 21-05-46-OOMS-308-0000013 | OOMS     |  308 | DIRECTA    | D21 07:46 UTC    | D21 19:46 UTC    | UBBB → OOMS                   
✅ 26-06-26-SUAA-207-0000010 | SUAA     |  207 | DIRECTA    | D26 08:26 UTC    | D26 18:26 UTC    | SPIM → SUAA                   
✅ 01-18-50-SKBO-325-0000025 | SKBO     |  325 | DIRECTA    | D1 20:50 UTC     | D2 08:50 UTC     | SPIM → SKBO                   
✅ 22-05-17-SGAS-305-0000007 | SGAS     |  305 | DIRECTA    | D22 07:17 UTC    | D22 18:17 UTC    | SPIM → SGAS                   
✅ 02-05-02-SUAA-332-0000021 | SUAA     |  332 | DIRECTA    | D2 07:02 UTC     | D2 17:02 UTC     | SPIM → SUAA                   
✅ 28-14-42-LKPR-208-0000017 | LKPR     |  208 | DIRECTA    | D28 16:42 UTC    | D29 04:42 UTC    | EBCI → LKPR                   
✅ 24-23-34-LDZA-304-0000008 | LDZA     |  304 | DIRECTA    | D25 01:34 UTC    | D25 13:34 UTC    | EBCI → LDZA                   
✅ 30-07-16-OSDI-256-0000019 | OSDI     |  256 | DIRECTA    | D30 09:16 UTC    | D30 22:16 UTC    | UBBB → OSDI                   
✅ 04-00-40-OYSN-295-0000018 | OYSN     |  295 | DIRECTA    | D4 02:40 UTC     | D4 15:40 UTC     | UBBB → OYSN                   
✅ 09-16-38-OERK-244-0000008 | OERK     |  244 | DIRECTA    | D9 18:38 UTC     | D10 07:38 UTC    | UBBB → OERK                   
✅ 23-07-11-LATI-256-0000014 | LATI     |  256 | DIRECTA    | D23 09:11 UTC    | D23 21:11 UTC    | EBCI → LATI                   
✅ 12-15-34-SEQM-273-0000012 | SEQM     |  273 | DIRECTA    | D12 17:34 UTC    | D13 05:34 UTC    | SPIM → SEQM                   
✅ 19-10-42-SUAA-233-0000002 | SUAA     |  233 | DIRECTA    | D19 12:42 UTC    | D19 22:42 UTC    | SPIM → SUAA                   
✅ 10-21-10-LDZA-299-0000007 | LDZA     |  299 | DIRECTA    | D10 23:10 UTC    | D11 11:10 UTC    | EBCI → LDZA                   
✅ 28-08-57-UMMS-200-0000023 | UMMS     |  200 | DIRECTA    | D28 10:57 UTC    | D28 20:57 UTC    | UBBB → UMMS                   
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
TOTAL: 211 pedidos procesados

🕐 LEYENDA UTC+0:
• ID PEDIDO UTC+0: Hora del pedido convertida a UTC+0
• Salida UTC+0: Primer vuelo disponible (pedido + 2h gracia) en UTC+0
• Llegada UTC+0: Tiempo real de llegada del plan de vuelo (Continental: +12h, Intercontinental: +24h)
• ⚠️CONT: Excede plazo máximo - ruta Continental (≤2 días)
• ⚠️INTER: Excede plazo máximo - ruta Intercontinental (≤3 días)
• [ALT:VÍA_HUB_SEGS_TIPO_TIEMPOd]: Ruta alternativa intercontinental sugerida
  - HUB: Aeropuerto de conexión (ej: VIDP, EHAM, SPIM)
  - SEGS: Segmentos CC=Cont-Cont, CI=Cont-Inter, IC=Inter-Cont, II=Inter-Inter
  - TIPO: CONT=Continental (<2d), INTER=Intercontinental (<3d)
  - TIEMPO: Días de tránsito total desde pedido hasta destino
• Continental (C): Mismo continente, 12h vuelo, límite ≤2 días desde pedido
• Intercontinental (I): Diferente continente, 24h vuelo, límite ≤3 días desde pedido
• Escalas: +2h tiempo de conexión
• Divididos: Llegada = cuando llega el ÚLTIMO vuelo del pedido dividido
